Loan_Number,AD_Tool,Appraisal_Dt,Auth_Price,Attached_Ind
202,,,100.125,N
100184,DS,6/26/2006 12:00:00 AM,100.125,N
203,DS,1/31/2007 12:00:00 AM,96.125,Y
100185,DS,8/29/2006 12:00:00 AM,99.875,N
204,DS,03/01/2007 0:00,100.625,Y
205,DS,9/13/2006 12:00:00 AM,100.125,Y
100186,DS,9/29/2006 12:00:00 AM,100,N
206,,,100.25,N
100187,DS,09/07/2006 0:00,100,N
207,,,100.125,N
100188,DS,09/12/2006 0:00,100.5,Y
208,DS,01/08/2007 0:00,100.375,Y
100189,DS,9/22/2006 12:00:00 AM,100.375,N
209,DS,10/26/2006 12:00:00 AM,99.75,Y
100190,DS,8/16/2006 12:00:00 AM,100.25,N
210,DS,04/02/2007 0:00,99.125,N
100191,DS,09/05/2006 0:00,100.5,Y
211,DS,11/30/2006 12:00:00 AM,97.625,Y
212,LP,10/09/2006 0:00,99.436996,N
100192,DS,9/21/2006 12:00:00 AM,100.375,N
213,DS,10/10/2006 0:00,98.375,N
100193,DS,09/11/2006 0:00,101.125,N
214,DS,10/06/2006 0:00,101.125,N
100194,DS,11/07/2006 0:00,99.875,Y
215,,,100,Y
100195,,,100.125,N
216,DS,9/20/2006 12:00:00 AM,100.125,N
100196,DS,9/19/2006 12:00:00 AM,99.5,N
217,DS,2/22/2007 12:00:00 AM,100.375,Y
100197,DS,9/22/2006 12:00:00 AM,99.625,N
218,DS,11/03/2006 0:00,99.875,N
100198,DS,9/22/2006 12:00:00 AM,100.375,Y
219,DS,11/20/2006 12:00:00 AM,100.75,N
100199,DS,2/13/2007 12:00:00 AM,100.125,N
220,DS,10/04/2006 0:00,100.25,N
100200,,,100,Y
221,,,100.125,N
100201,DS,2/14/2007 12:00:00 AM,100.125,N
222,DS,10/17/2006 12:00:00 AM,100.625,Y
100202,,,100.125,N
223,,,100,N
100203,DS,1/31/2007 12:00:00 AM,96.125,Y
224,DS,11/29/2006 12:00:00 AM,101.25,N
225,DS,10/02/2006 0:00,100.125,N
100204,DS,03/01/2007 0:00,100.625,Y
226,,,100,Y
